epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.26432,1.9783,5.21147,1.84716,0.52463,0.00741,0.01117,0.0091,2.22773,4.39172,1.71236,1.578e-05,1.578e-05,1.578e-05
2,3.76685,2.09896,5.09811,1.84342,0.15073,0.01697,0.02765,0.01851,2.07809,3.7868,1.63722,3.66377e-05,3.66377e-05,3.66377e-05
3,7.01599,1.56228,3.56075,1.60213,0.78029,0.1879,0.27334,0.16418,1.6623,4.26217,1.43423,5.72872e-05,5.72872e-05,5.72872e-05
4,10.1435,1.51682,2.70153,1.47115,0.65354,0.27732,0.3654,0.23699,1.47643,4.22862,1.31168,7.77283e-05,7.77283e-05,7.77283e-05
5,13.1714,1.14851,1.69513,1.25172,0.58106,0.40871,0.50164,0.34931,1.27534,2.63753,1.19985,9.79612e-05,9.79612e-05,9.79612e-05
6,16.2236,1.09631,1.39026,1.17784,0.7468,0.50198,0.59651,0.38958,1.2872,3.62338,1.20617,0.000117986,0.000117986,0.000117986
7,19.3047,0.94998,1.13711,1.06329,0.60992,0.53838,0.55866,0.33347,1.21605,4.55143,1.1774,0.000137802,0.000137802,0.000137802
8,21.607,0.93611,1.16406,1.07841,0.74118,0.63891,0.64593,0.37982,1.30627,1.84622,1.22625,0.00015741,0.00015741,0.00015741
9,23.947,1.00994,1.07965,1.11871,0.69686,0.67674,0.70169,0.44069,1.21781,2.25754,1.19652,0.00017681,0.00017681,0.00017681
10,27.1581,0.91828,1.02825,1.04497,0.65175,0.66694,0.67612,0.4226,1.26254,1.55081,1.23969,0.000196001,0.000196001,0.000196001
11,29.4581,0.91813,0.91528,1.06342,0.68602,0.56693,0.61589,0.35376,1.31048,2.34735,1.32997,0.000214984,0.000214984,0.000214984
12,31.7535,0.91573,0.99109,0.99928,0.66768,0.4951,0.50657,0.2905,1.38218,3.26851,1.40034,0.000233759,0.000233759,0.000233759
