epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.56772,2.04844,3.4356,2.12647,0.0031,0.8,0.00366,0.00092,3.03868,4.19471,3.81775,2e-05,2e-05,2e-05
2,2.37992,2.03235,3.40469,2.09992,0.00297,0.76667,0.00359,0.00086,3.01189,4.24269,3.79582,5.98812e-05,5.98812e-05,5.98812e-05
3,3.28543,2.03751,3.45107,2.05871,0.00321,0.83333,0.00397,0.00094,2.97705,4.26149,3.74481,9.9604e-05,9.9604e-05,9.9604e-05
4,4.62254,2.00076,3.59805,2.13986,0.00318,0.83333,0.00377,0.00091,2.94203,4.31368,3.67893,0.000139168,0.000139168,0.000139168
5,5.56628,1.97486,3.40574,2.10263,0.00434,1,0.02104,0.00862,1.84309,3.14122,2.92704,0.000178574,0.000178574,0.000178574
6,7.91379,1.12917,1.82388,1.39973,1,0.97769,0.995,0.54551,1.48185,2.82672,2.16696,0.000217822,0.000217822,0.000217822
7,10.2967,1.089,1.12458,1.36139,0.93131,0.90397,0.96426,0.53618,1.49745,2.73565,2.15507,0.000256911,0.000256911,0.000256911
8,11.9569,1.14341,0.84487,1.49054,0.91318,0.93333,0.96311,0.57733,1.47504,2.25479,1.97876,0.000295842,0.000295842,0.000295842
9,14.2838,0.88338,0.70643,1.24368,0.68247,1,0.99125,0.66155,1.21449,2.4272,1.67298,0.000334614,0.000334614,0.000334614
10,16.659,0.91144,0.55782,1.18776,0.72648,1,0.97371,0.58904,1.36171,2.40462,1.94018,0.000373228,0.000373228,0.000373228
11,18.542,1.13774,0.63497,1.37296,0.86985,1,0.995,0.65859,1.14122,2.01856,1.69995,0.000411684,0.000411684,0.000411684
12,20.2358,1.09707,0.65478,1.39282,0.97042,1,0.995,0.63077,1.29943,1.76908,1.87018,0.000449981,0.000449981,0.000449981
13,21.9087,0.89556,0.49937,1.19896,0.9403,0.96667,0.96546,0.67229,1.12101,1.31503,1.49919,0.00048812,0.00048812,0.00048812
14,24.2761,0.83222,0.49413,1.22155,0.95198,1,0.995,0.66699,1.17334,1.83963,1.63899,0.0005261,0.0005261,0.0005261
15,25.9163,0.87644,0.4931,1.14566,0.98615,1,0.995,0.64439,1.28353,1.12479,1.79529,0.000563922,0.000563922,0.000563922
16,27.5936,0.73972,0.43158,1.13405,0.995,1,0.995,0.65294,1.18132,0.70428,1.68657,0.000601586,0.000601586,0.000601586
17,29.3921,0.92236,0.47788,1.24698,0.6277,1,0.74016,0.45918,1.21892,2.178,1.73551,0.000639091,0.000639091,0.000639091
18,31.0447,0.80123,0.43512,1.12089,0.4741,0.93333,0.46647,0.24828,1.38628,3.09764,1.89094,0.000676438,0.000676438,0.000676438
19,32.6877,0.87291,0.46219,1.20258,0.00952,0.2,0.00346,0.00213,2.33167,39.7064,2.4604,0.000713626,0.000713626,0.000713626
20,34.3161,1.01009,0.47082,1.22633,0.00156,0.13333,0.00072,0.00031,3.5159,207.917,3.35495,0.000750656,0.000750656,0.000750656
21,35.9828,0.9159,0.50793,1.25389,0.00034,0.1,0.00019,6e-05,3.38603,inf,3.73444,0.000787528,0.000787528,0.000787528
22,37.6639,0.8017,0.43648,1.09871,0,0,0,0,6.97597,inf,13.5419,0.000824241,0.000824241,0.000824241
23,39.3167,0.82285,0.43534,1.18258,0,0,0,0,nan,nan,nan,0.000860796,0.000860796,0.000860796
24,41.1714,0.811,0.41686,1.23356,0,0,0,0,nan,nan,nan,0.000897192,0.000897192,0.000897192
25,42.8418,0.79066,0.4449,1.12572,0,0,0,0,5.82044,inf,83.1957,0.00093343,0.00093343,0.00093343
26,44.4633,0.87125,0.43742,1.18378,0.00565,0.56667,0.00477,0.00294,nan,nan,nan,0.00096951,0.00096951,0.00096951
27,46.08,0.87741,0.47807,1.21087,0.00522,0.76667,0.00534,0.00219,nan,nan,nan,0.00100543,0.00100543,0.00100543
28,47.744,0.92385,0.4475,1.17391,0.00445,0.93333,0.00591,0.00246,nan,nan,nan,0.00104119,0.00104119,0.00104119
29,49.3599,1.02216,0.51549,1.28633,0,0,0,0,3.06374,inf,89.9367,0.0010768,0.0010768,0.0010768
30,51.1412,0.97379,0.47107,1.20296,0,0,0,0,nan,nan,nan,0.00111224,0.00111224,0.00111224
31,52.7673,0.84847,0.48697,1.16995,0,0,0,0,nan,nan,nan,0.00114753,0.00114753,0.00114753
32,54.3932,0.7781,0.44584,1.14356,0.00013,0.03333,7e-05,3e-05,nan,nan,nan,0.00118266,0.00118266,0.00118266
33,56.0063,0.972,0.45382,1.2402,0,0,0,0,nan,nan,nan,0.00121763,0.00121763,0.00121763
34,57.6169,0.84886,0.44039,1.17509,0.00012,0.03333,7e-05,1e-05,4.2781,inf,111.236,0.00125244,0.00125244,0.00125244
35,59.2286,0.79602,0.41553,1.07752,0,0,0,0,4.92494,inf,108.468,0.0012871,0.0012871,0.0012871
36,61.0273,0.88317,0.45027,1.18474,0.00149,0.33333,0.00102,0.00017,4.07921,inf,88.3173,0.00132159,0.00132159,0.00132159
37,62.6467,0.82407,0.45138,1.23776,0.00075,0.16667,0.00039,4e-05,4.28828,inf,172.536,0.00135593,0.00135593,0.00135593
38,64.2414,1.01037,0.494,1.26609,0.01149,1,0.01321,0.00528,2.72122,inf,81.8464,0.00139011,0.00139011,0.00139011
39,65.8443,0.89595,0.4683,1.17059,0,0,0,0,0,2096,0,0.00142413,0.00142413,0.00142413
40,67.4311,0.90821,0.50096,1.17798,0,0,0,0,nan,nan,nan,0.00145799,0.00145799,0.00145799
41,69.0172,0.83219,0.45966,1.12268,0.00899,0.7,0.00841,0.00365,nan,nan,nan,0.0014917,0.0014917,0.0014917
42,70.7867,0.77947,0.44481,1.12564,0,0,0,0,0,115.625,0,0.00152524,0.00152524,0.00152524
43,72.4022,0.83658,0.43645,1.11983,0.00684,1,0.00737,0.00419,2.10202,inf,29.7021,0.00155863,0.00155863,0.00155863
44,73.9918,0.8609,0.55535,1.19997,0.00152,0.36667,0.00143,0.00031,4.30801,inf,64.6757,0.00159186,0.00159186,0.00159186
45,75.5724,0.81907,0.44908,1.10918,0.0006,0.03333,0.00147,0.00029,nan,nan,nan,0.00162493,0.00162493,0.00162493
46,77.1591,0.95916,0.55557,1.20669,0.00731,0.26667,0.00475,0.00117,nan,nan,nan,0.00165784,0.00165784,0.00165784
47,78.7812,0.95115,0.45807,1.22738,0,0,0,0,nan,nan,nan,0.00169059,0.00169059,0.00169059
48,80.5409,1.02153,0.49658,1.33662,0,0,0,0,nan,nan,nan,0.00172319,0.00172319,0.00172319
49,82.1096,0.8956,0.50263,1.22731,0,0,0,0,nan,nan,nan,0.00175562,0.00175562,0.00175562
50,83.673,0.99306,0.5165,1.27303,0,0,0,0,nan,nan,nan,0.0017879,0.0017879,0.0017879
51,85.2475,0.97264,0.56154,1.27431,0,0,0,0,nan,nan,nan,0.001802,0.001802,0.001802
52,86.8161,1.05333,0.58226,1.33291,0,0,0,0,nan,nan,nan,0.00179804,0.00179804,0.00179804
53,88.3723,0.95471,0.50913,1.20871,0,0,0,0,nan,nan,nan,0.00179408,0.00179408,0.00179408
54,89.9465,0.96455,0.53365,1.2067,0,0,0,0,nan,nan,nan,0.00179012,0.00179012,0.00179012
55,91.6737,1.00707,0.57368,1.21558,0,0,0,0,nan,nan,nan,0.00178616,0.00178616,0.00178616
56,93.2348,0.9534,0.49117,1.18394,0,0,0,0,nan,nan,nan,0.0017822,0.0017822,0.0017822
57,94.8136,1.03327,0.51826,1.25914,0,0,0,0,nan,nan,nan,0.00177824,0.00177824,0.00177824
58,96.3932,0.94262,0.47298,1.21278,0,0,0,0,nan,nan,nan,0.00177428,0.00177428,0.00177428
59,97.9658,0.97658,0.51177,1.29217,0,0,0,0,nan,nan,nan,0.00177032,0.00177032,0.00177032
60,99.5689,0.87742,0.45545,1.13389,0.00725,0.03333,0.00421,0.00084,nan,nan,nan,0.00176636,0.00176636,0.00176636
61,101.316,0.97255,0.49708,1.27362,0.01391,0.4,0.00762,0.00425,nan,nan,nan,0.0017624,0.0017624,0.0017624
62,102.921,0.92801,0.49244,1.23389,0.0226,0.46667,0.01524,0.00841,1.92145,inf,61.6917,0.00175844,0.00175844,0.00175844
63,104.532,0.8523,0.4686,1.14589,0.00987,0.3,0.00503,0.00262,1.99914,inf,46.1494,0.00175448,0.00175448,0.00175448
64,106.146,0.86217,0.47783,1.24177,0.00065,0.03333,0.00032,3e-05,6.54816,inf,422.187,0.00175052,0.00175052,0.00175052
65,107.753,0.83893,0.46476,1.14069,0.00399,0.2,0.00245,0.00033,5.50339,inf,173.463,0.00174656,0.00174656,0.00174656
66,109.377,0.92053,0.45264,1.15427,0.00847,0.53333,0.00654,0.00096,6.21094,inf,136.575,0.0017426,0.0017426,0.0017426
67,111.149,0.97476,0.48294,1.23647,0.00082,0.03333,0.00245,0.00024,5.66492,inf,65.1325,0.00173864,0.00173864,0.00173864
68,112.791,0.96022,0.45489,1.22662,0.00086,0.06667,0.0005,5e-05,4.99591,1049.08,30.3048,0.00173468,0.00173468,0.00173468
69,114.413,0.86212,0.45005,1.19077,0.00393,0.1,0.00073,0.00011,4.62539,321.334,15.7518,0.00173072,0.00173072,0.00173072
70,116.023,0.98545,0.4681,1.19354,0.002,0.03333,0.00017,2e-05,5.60737,82.9884,13.2423,0.00172676,0.00172676,0.00172676
71,117.638,0.88294,0.43089,1.21267,0.00012,0.03333,7e-05,1e-05,5.35314,50.2346,8.34016,0.0017228,0.0017228,0.0017228
72,119.255,0.71291,0.405,1.06648,0.00709,0.1,0.00093,0.00022,4.44907,62.2581,6.15131,0.00171884,0.00171884,0.00171884
73,121.009,0.87342,0.4486,1.14109,0.37675,0.43333,0.31483,0.12533,1.91908,3.40912,2.40502,0.00171488,0.00171488,0.00171488
74,122.609,1.0341,0.49753,1.32213,0.36968,0.3,0.35239,0.18935,1.58313,5.70062,1.94277,0.00171092,0.00171092,0.00171092
75,124.21,0.90343,0.44752,1.25571,0.53904,0.43333,0.40352,0.18877,1.68736,4.69522,1.88889,0.00170696,0.00170696,0.00170696
76,125.825,0.83953,0.41013,1.18298,0.81327,0.5811,0.57015,0.36758,1.63053,2.61479,1.98235,0.001703,0.001703,0.001703
77,127.444,0.87486,0.40724,1.1577,0.68391,0.56667,0.56763,0.32479,1.57877,2.72932,1.87038,0.00169904,0.00169904,0.00169904
78,129.053,0.81485,0.41701,1.21576,0.9344,0.7,0.7586,0.46715,1.30994,1.41301,1.84669,0.00169508,0.00169508,0.00169508
79,130.805,0.86919,0.42033,1.18667,0.94175,0.63333,0.68661,0.44054,1.43768,0.93635,1.87478,0.00169112,0.00169112,0.00169112
80,132.405,0.9064,0.46078,1.19649,0.70223,0.70769,0.76357,0.46141,1.24233,0.75965,1.6471,0.00168716,0.00168716,0.00168716
81,133.996,0.78211,0.40093,1.16873,0.67187,0.76667,0.73614,0.46486,1.13072,0.84174,1.54577,0.0016832,0.0016832,0.0016832
82,135.596,0.8682,0.4042,1.19548,0.75823,0.83639,0.84494,0.52985,1.19486,0.76014,1.65154,0.00167924,0.00167924,0.00167924
83,137.183,0.84463,0.40159,1.1985,0.8664,0.9,0.92047,0.59774,1.21343,0.73464,1.64322,0.00167528,0.00167528,0.00167528
84,138.769,0.77068,0.40409,1.11704,0.89716,0.9,0.95932,0.62684,1.26375,0.66454,1.64617,0.00167132,0.00167132,0.00167132
85,140.506,0.9254,0.45353,1.19998,0.99279,1,0.995,0.66147,1.26212,0.55861,1.67846,0.00166736,0.00166736,0.00166736
86,142.1,0.87197,0.41561,1.20884,0.93652,1,0.99403,0.63452,1.31771,0.62161,1.7478,0.0016634,0.0016634,0.0016634
87,143.7,0.71715,0.41325,1.09632,0.94366,1,0.995,0.66135,1.24466,0.8685,1.69446,0.00165944,0.00165944,0.00165944
88,145.332,0.84483,0.43631,1.17155,0.37276,0.4,0.46486,0.22928,1.44641,2.58499,1.72136,0.00165548,0.00165548,0.00165548
89,146.959,0.73034,0.39952,1.10539,0.39981,0.5,0.41259,0.15091,1.91967,2.53267,2.02545,0.00165152,0.00165152,0.00165152
90,148.575,0.72148,0.35683,1.10894,0.54542,0.73333,0.69357,0.36793,1.54388,1.62667,1.71818,0.00164756,0.00164756,0.00164756
91,150.188,0.83297,0.41381,1.13384,0.52591,0.56667,0.43694,0.17722,1.76565,2.07473,1.81843,0.0016436,0.0016436,0.0016436
92,151.951,0.89718,0.42011,1.18165,0.14919,0.26667,0.11144,0.03223,2.91698,2.55536,2.60763,0.00163964,0.00163964,0.00163964
93,153.569,0.85551,0.38986,1.11935,0.1302,0.26667,0.09683,0.02462,2.88531,2.59049,2.66794,0.00163568,0.00163568,0.00163568
94,155.216,0.85198,0.4484,1.22051,0.15405,0.06667,0.03652,0.00921,3.14709,3.12365,2.72595,0.00163172,0.00163172,0.00163172
95,156.853,0.73331,0.39422,1.11783,0.01507,0.03333,0.00413,0.00079,4.14266,3.73821,3.24737,0.00162776,0.00162776,0.00162776
96,158.47,1.00648,0.4349,1.30645,0.12779,0.33333,0.07737,0.02761,2.83529,2.79124,2.39404,0.0016238,0.0016238,0.0016238
97,160.101,0.77489,0.35257,1.08527,0.48768,0.56667,0.59201,0.29501,1.46105,1.4952,1.65885,0.00161984,0.00161984,0.00161984
98,161.868,0.89889,0.4538,1.1927,0.83847,0.73333,0.88806,0.59032,1.16002,0.88901,1.61117,0.00161588,0.00161588,0.00161588
99,163.481,0.69224,0.36877,1.10141,0.96149,0.83234,0.90582,0.54936,1.20734,0.94054,1.69103,0.00161192,0.00161192,0.00161192
100,165.154,0.70587,0.38766,1.11451,0.7826,0.93333,0.91949,0.53799,1.28705,0.88106,1.81615,0.00160796,0.00160796,0.00160796
101,166.747,0.77873,0.42448,1.19268,0.82016,0.9,0.93323,0.5918,1.19167,0.77731,1.76764,0.001604,0.001604,0.001604
102,168.34,0.66839,0.37874,1.07987,0.69282,0.9,0.87283,0.54962,1.11613,0.79654,1.62699,0.00160004,0.00160004,0.00160004
103,169.929,0.63974,0.34416,0.99877,0.82752,0.93333,0.902,0.56892,1.09488,0.67906,1.57397,0.00159608,0.00159608,0.00159608
104,171.682,0.70307,0.36847,1.12679,0.6639,0.86667,0.78469,0.50605,1.16342,1.1564,1.56493,0.00159212,0.00159212,0.00159212
105,173.302,0.72993,0.36997,1.10442,0.49223,0.53333,0.50111,0.29625,1.40951,1.73489,1.69153,0.00158816,0.00158816,0.00158816
106,174.92,0.78125,0.45104,1.17588,0.57197,0.36667,0.27205,0.15374,1.47522,2.70667,1.68972,0.0015842,0.0015842,0.0015842
107,176.514,0.7062,0.34731,1.16876,0.63565,0.13333,0.14174,0.09666,1.55719,3.42093,1.71333,0.00158024,0.00158024,0.00158024
