epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.83247,1.96674,3.74987,2.03562,0.04353,0.03333,0.02234,0.00821,1.6393,3.17356,2.11537,6e-05,6e-05,6e-05
2,3.06901,1.90722,3.46194,1.89095,0.00658,0.06667,0.01797,0.00649,1.67138,3.1687,2.15047,0.000139307,0.000139307,0.000139307
3,4.56478,1.54171,3.30168,1.8034,0.0069,0.4,0.00939,0.0025,2.32168,130.234,2.02388,0.000217822,0.000217822,0.000217822
4,7.28811,1.47728,3.90661,1.72124,0.00663,1,0.00792,0.00315,2.69013,inf,10.3209,0.000295545,0.000295545,0.000295545
5,10.1847,1.40132,1.49645,1.77851,0.03922,0.13333,0.06057,0.00645,nan,nan,nan,0.000372476,0.000372476,0.000372476
6,13.8177,1.32533,1.35362,1.59443,0,0,0,0,nan,nan,nan,0.000448615,0.000448615,0.000448615
7,16.2652,1.12971,0.95605,1.47828,0,0,0,0,nan,nan,nan,0.000523962,0.000523962,0.000523962
8,18.7969,1.16406,0.94597,1.54923,0,0,0,0,nan,nan,nan,0.000598517,0.000598517,0.000598517
9,21.2931,1.22048,0.97721,1.5904,0,0,0,0,nan,nan,nan,0.00067228,0.00067228,0.00067228
10,24.0742,1.066,0.73845,1.44914,0,0,0,0,nan,nan,nan,0.000745251,0.000745251,0.000745251
11,26.5983,1.2026,0.88331,1.45001,0,0,0,0,nan,nan,nan,0.00081743,0.00081743,0.00081743
12,29.1606,1.02224,0.73612,1.37856,0,0,0,0,nan,nan,nan,0.000888817,0.000888817,0.000888817
13,31.6891,1.16408,0.78128,1.53688,0,0,0,0,nan,nan,nan,0.000959412,0.000959412,0.000959412
14,34.135,0.90964,0.705,1.30557,0,0,0,0,nan,nan,nan,0.00102922,0.00102922,0.00102922
15,36.6042,1.02818,0.665,1.37473,0.00491,0.23333,0.03827,0.00588,nan,nan,nan,0.00109823,0.00109823,0.00109823
16,39.0767,0.92325,0.60802,1.38434,0,0,0,0,nan,nan,nan,0.00116645,0.00116645,0.00116645
17,41.7479,1.12211,0.75076,1.43999,0.00078,0.23333,0.00049,8e-05,nan,nan,nan,0.00123387,0.00123387,0.00123387
18,44.2495,0.944,0.61601,1.29735,0.00069,0.2,0.00062,0.00017,2.66069,inf,80.3396,0.00130051,0.00130051,0.00130051
19,46.7177,1.18574,0.8665,1.55953,0,0,0,0,nan,nan,nan,0.00136635,0.00136635,0.00136635
20,49.1828,1.04183,0.75018,1.35087,0,0,0,0,nan,nan,nan,0.0014314,0.0014314,0.0014314
21,51.6799,1.14286,0.63955,1.46061,0.01502,0.93333,0.01745,0.00335,3.42921,inf,282.045,0.00149566,0.00149566,0.00149566
22,54.3664,1.04648,0.68479,1.3962,0.00057,0.16667,0.00034,5e-05,3.77251,inf,140.411,0.00155913,0.00155913,0.00155913
23,56.8226,0.96921,0.70157,1.28163,0.00515,0.76667,0.00569,0.00125,3.46897,inf,35.6923,0.0016218,0.0016218,0.0016218
24,59.3307,1.08492,0.6326,1.26478,0.00668,0.83333,0.00648,0.00177,2.76452,inf,63.8946,0.00168368,0.00168368,0.00168368
25,61.838,1.06165,0.64984,1.33738,0.00403,0.76667,0.00449,0.00073,3.49283,inf,100.414,0.00174478,0.00174478,0.00174478
26,64.3233,1.07594,0.62637,1.39036,0.07692,0.73333,0.071,0.04929,1.25679,29.0578,2.6239,0.0017525,0.0017525,0.0017525
27,67.8294,1.23737,0.69986,1.54113,0.01145,0.3,0.00671,0.00266,2.43905,612.705,18.7377,0.0017426,0.0017426,0.0017426
28,70.4665,1.16973,0.64743,1.44092,0.01147,0.13333,0.00534,0.00069,4.40112,545.853,31.0276,0.0017327,0.0017327,0.0017327
29,72.9779,1.05785,0.59939,1.37077,0.00047,0.13333,0.00028,5e-05,4.70028,inf,266.214,0.0017228,0.0017228,0.0017228
30,75.46,1.08766,0.56767,1.40147,0.00536,0.66667,0.00615,0.00135,nan,nan,nan,0.0017129,0.0017129,0.0017129
31,77.9261,1.07278,0.62467,1.37878,0.00541,0.66667,0.00472,0.00083,4.21788,inf,331.084,0.001703,0.001703,0.001703
32,80.4183,0.91078,0.66231,1.29073,0.01569,0.5,0.0168,0.00513,2.86575,375.832,11.0753,0.0016931,0.0016931,0.0016931
33,82.8686,0.98673,0.59302,1.30877,0.063,0.6,0.04849,0.02082,2.37931,29.8983,3.80867,0.0016832,0.0016832,0.0016832
34,85.2931,1.05048,0.57687,1.30804,0.08145,0.56667,0.06516,0.02986,1.97179,15.4135,2.37472,0.0016733,0.0016733,0.0016733
35,87.9316,0.89605,0.50227,1.26393,0.717,0.9,0.84049,0.37497,1.69093,1.64979,2.09879,0.0016634,0.0016634,0.0016634
36,91.4138,0.93885,0.53611,1.37315,0.91973,0.76667,0.80138,0.38934,1.95856,1.69434,2.33206,0.0016535,0.0016535,0.0016535
37,94.8739,0.94141,0.53719,1.25877,0.98978,0.76667,0.88632,0.38328,2.05535,1.13196,2.41705,0.0016436,0.0016436,0.0016436
38,98.107,0.91515,0.5235,1.2152,0,0,0,0,5.38165,23.579,15.3413,0.0016337,0.0016337,0.0016337
39,100.506,0.88059,0.55839,1.29485,0,0,0,0,0,54.8125,0,0.0016238,0.0016238,0.0016238
40,103.053,1.04473,0.55978,1.23915,0,0,0,0,5.50527,9.20176,14.3986,0.0016139,0.0016139,0.0016139
41,105.472,0.99233,0.58547,1.34675,0.08433,0.06667,0.01595,0.00539,4.88995,5.39282,8.60347,0.001604,0.001604,0.001604
42,107.972,1.01785,0.58117,1.30811,0,0,0,0,5.204,6.35033,6.69495,0.0015941,0.0015941,0.0015941
43,110.422,0.95416,0.55066,1.26557,0,0,0,0,5.74245,17.2736,16.9065,0.0015842,0.0015842,0.0015842
44,112.898,0.87018,0.49553,1.23577,0,0,0,0,5.92211,45.7686,19.5802,0.0015743,0.0015743,0.0015743
45,115.369,0.97679,0.56233,1.35927,0,0,0,0,5.70492,166.227,12.9886,0.0015644,0.0015644,0.0015644
46,117.971,0.79764,0.49293,1.19457,0,0,0,0,5.11306,inf,5.63411,0.0015545,0.0015545,0.0015545
47,120.429,0.90766,0.47987,1.38651,0.07471,0.8,0.06999,0.04353,1.46125,19.8659,1.8687,0.0015446,0.0015446,0.0015446
48,122.913,1.04448,0.54626,1.32612,0.99142,1,0.995,0.63704,1.13943,0.78789,1.71841,0.0015347,0.0015347,0.0015347
49,126.454,0.94134,0.4907,1.27746,0.99523,1,0.995,0.64163,1.16998,0.71604,1.65547,0.0015248,0.0015248,0.0015248
50,130.015,0.95445,0.52202,1.26304,1,0.99424,0.995,0.66634,1.14179,1.07202,1.62799,0.0015149,0.0015149,0.0015149
